,Year,Month,Last Name (1st Author),Paper Title,"Process (CMOS_Bulk, CMOS_SOI, SiGe)",CW Performance,Frequency (GHz),Psat (dBm),PAEmax (%),PA Efficiency Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),RF PA Note (Analog PA or Digital PA),Process node
56,2017.0,,Bagger,Broadband LDMOS 40 W and 55 W Integrated Power Amplifiers,LDMOS,,2.1,,,,47.99,48,29,,,,,,,,LDMOS
57,2004.0,,Chung,Efficiency-Enhancing Technique: LDMOS Power Amplifier Using Dual-Mode Operation Design Approach,LDMOS,,2.12,50.0,40,,,,,,,,,,,,LDMOSFET MRF-21030 
58,2005.0,2.0,Chung,Power Level-Dependent Dual-Operating Mode LDMOS Power Amplifier for CDMA Wireless Base-Station Applications,LDMOS,,2.12,43.4,20.2,,40.0,26,10,,,,,,,,MRF21030_LDMOSFET
59,2005.0,2.0,Chung,Power Level-Dependent Dual-Operating Mode LDMOS Power Amplifier for CDMA Wireless Base-Station Applications,LDMOS,,2.12,50.2,39.1,,44.0,46,12,,,,,,,,MRF21030_LDMOSFET
60,2003.0,,Cha,An Adaptive Bias Controlled Power Amplifier with a LoadModulated Combining Scheme for High Efficiency and Linearity,LDMOS,,2.14,,,,,,,,,,33.5,41,WCDMA,,MRF281SRl LDMOSFET
61,2004.0,2.0,Cha,Optimum Design of a Predistortion RF Power Amplifier for Multicarrier WCDMA Applications,LDMOS,,2.14,,,,,,,,,,36,17.2(DE),WCDMA,,MRF21030_LDMOSFET
62,2004.0,,Jeong,Design of the Doherty amplifier with Push-pull structure using balun transformer,LDMOS,,2.14,48.0,42 (DE),DE,,,12,,,,40,23.65,WCDMA,,LDMOS MRF21045
63,2004.0,,Shin,Linear Power Amplifier based on 3-Way Doherty Amplifier with Predistorter,LDMOS,,2.14,,,,,,,,,,40,10.3,WCDMA,,LDMOSFET
64,2005.0,,Hartskeerl,On the Optimum Znd Harmonic Source and Load Impedances for the Efficiency-Linearity Trade-off of RF LDMOS Power Amplifiers,LDMOS,,2.14,,,,,,,,,,26.5,35,CDMA,,LDMOS
65,2005.0,5.0,Kim,Optimum Operation of Asymmetrical-Cells-Based Linear Doherty Power Amplifiers—Uneven Power Drive and Power Matching,LDMOS,,2.14,,,,,,,,,,33,40(DE),WCDMA,,MRF281SR1_LDMOSFET
66,2005.0,1.0,Cho,A Highly Efficient Doherty Feedforward Linear Power Amplifier for W-CDMA Base-Station Applications,LDMOS,,2.14,,,,,,,,,,45,10.9,WCDMA 1FA,,MRF5P21180_LDMOSFET
67,2005.0,11.0,Cho,Linearity Optimization of a High Power Doherty Amplifier Based on Post-Distortion Compensation,LDMOS,,2.14,,,,,,,,,,44.77,,WCDMA,,LDMOS MRF5P21180
68,2005.0,,Cho,Linearity Optimization of a High Power Doherty Amplifier,LDMOS,,2.14,,,,,,,,,,44.77,26.9,WCDMA,,LDMOSFET MRF5P21180
69,2006.0,,Lee,A High Power Asymmetric Doherty Amplifier with Improved Linear Dynamic Range,LDMOS,,2.14,,,,49.8,42.6,10,,,,40.8,31.1,WCDMA,,LDMOS FET MRF21045/MRF21090
70,2006.0,,Patel,TWO-TIER PUSH-PULL RF POWER AMPLIFIER FOR BASESTATION APPLICATIONS,LDMOS,,2.14,,,,49.8,59,14.5,,,,,,,,LDMOS MRF21030
71,2006.0,,Gerhard,"Improvement of power amplifier efficiency by reactive Chireix combining, power back-off and differential phase adjustment",LDMOS,,2.14,44.1,63 (DE),DE,,,,,,,,,,,Si-LDMOS XLF4G21-15
72,2007.0,5.0,Hong,Weighted Polynomial Digital Predistortion for Low Memory Effect Doherty Power Amplifier,LDMOS,,2.14,,,,,,,,,,40,20.78,WCDMA 3FA,,MRF5S21090_LDMOSFET
73,2007.0,5.0,Edmund Neo,A Mixed-Signal Approach Towards Linear and Efficient N-Way Doherty Amplifiers,LDMOS,,2.14,41.0,58,,,,12,,,,31.5,41.6(DE),WCDMA,,GEN4 LDMOS
74,2008.0,2.0,Kim,A New Wideband Adaptive Digital Predistortion Technique Employing Feedback Linearization,LDMOS,,2.14,,,,,,,,-40.45,,40,,WCDMA 2FA,,MRF5S21090_LDMOSFET
75,2010.0,,Choi,Quad-Band Inverse Class-F Power Amplifier using Novel Composite Right/Left-Handed Transmission Line,LDMOS,,2.14,40.7,56.6,,,,10.7,,,,,,,,LDMOSFET
76,2010.0,,Lee,A High-Linearity Wideband Power Amplifier With Cascaded Third-Order Analog Predistorters,LDMOS,,2.14,,,,,,,,,,39.4,22.5,WCDMA,,LDMOSFET
77,2011.0,,Lee,Design of Highly Efficient Three-Stage Inverted Doherty Power Amplifier,LDMOS,,2.14,48.0,46,,,,7,,,,40,35(DE),,,LDMOSFET
78,2018.0,10.0,Chang,A Multilevel Pulse-Modulated Polar Transmitter Based on a Doherty Power Amplifier and Memoryless Digital Predistortion,A2I20H060NR1 LDMOS,,2.14,49.0,45,,,,,20-MHz 64QAM LTE,,,40.5,40.8,,,
79,2005.0,10.0,Kim,A Wide Dynamic Range Analog Predistortion-Type Linearizer Using Self-cancellation Scheme,LDMOS,,2.15,,,,,,,,,,38,9,WCDMA,,LDMOS MRF21030 
80,2007.0,,Bagger,20-Watt LDMOS Power Amplifier IC for Linear Driver Application,LDMOS,,2.17,44.0,46,,,,28.5,,,,,,,,LDMOS
81,2016.0,,Jang,Self-Outphasing Chireix Power Amplifier Using Device Input Impedance Variation,LDMOS,,2.17,52.6,50 (DE),DE,,,,,,,,,,,LDMOS
82,2008.0,,Cassan,A 2-stage 150W 2.2GHz Dual Path LDMOS RF Power Amplifier for High Efficiency Applications,LDMOS,,2.2,51.76,47,,50.9,,29,,,,,,,,LDMOS
83,2000.0,12.0,Yi,Analog Predistortion Linearizer for High-Power RF Amplifiers,LDMOS,,2.4,,,,,,,,,,45,,CDMA,,LDMOS
84,2021.0,7.0,Ahmed,2.6-GHz Integrated LDMOS Doherty Power Amplifier for 5G Basestation Applications,LDMOS,2.6,2.6,46.0,55,,,,23,LTE,,160,38,46.5,,,LDMOS
85,2021.0,7.0,Ahmed,2.6-GHz Integrated LDMOS Doherty Power Amplifier for 5G Basestation Applications,LDMOS,2.6,2.6,46.0,55,,,,23,LTE,,160,38,46.5,,,LDMOS
86,2007.0,,Cassan,A 3.5 GHz 25 W Silicon LDMOS RFIC power amplifier for WiMAX applications,LDMOS,,3.4,46.0,40,,44.62,36.7,26,,,,36,14(DE),WiMax,,LDMOS
87,2010.0,,Gruner,A 1 W Si-LDMOS Power Amplifier with 40 % Drain Efficiency for 6 GHz WLAN Applications,LDMOS,,5.8,31.76,28,,30.0,,,,-30.45,27Mbps,,,64 QAM (OFDM),,LDMOS
88,2012.0,6.0,Ahmed,"A 350W, 2GHz, 44% efficient LDMOS power amplifier design with capability to handle a wideband 65MHz envelope signal ",LDMOS,,1.96,,,,,,,,,,48,40.8,BW of 65 MHz ,,LDMOS power transistors
89,2001.0,,Estes,An Internally Matched LTCC 3G W-CDMA 180 Watt LDMOS Power Amplifier,LDMOS,,,52.55,42 (DE),DE,,,12,,,,,,,,LDMOS
90,2022.0,11.0,Wang,A Broadband Power Amplifier With Multifrequency Impedance Matching,Self-Developed LDMOS ,,0.5,41.02,43.62 (DE),DE,,,9.83,W-CDMA,,3.84,34,24 (DE),,,
91,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,
