,year,month,author_name,paper_title,process,CW Performance,frequency,Psat (dBm),PAEmax (%),PA Efficieny Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),PA_type,node
302,2022.0,1,Cheron,High-Gain 500-GHz InP HBT Power Amplifiers,InP,482-506,498.0,-1.5,,,,,23.8,,,,,,,,130nm InP DHBT
303,2022.0,1,Cheron,High-Gain 500-GHz InP HBT Power Amplifiers,InP,486-516,520.0,-0.7,,,,,24.1,,,,,,,,130nm InP DHBT
304,2022.0,11,Jang,H-Band Broadband Balanced Power Amplifier in 250-nm InP HBT Technology Using Impedance-Transforming Balu,InP,220-295,232.0,9.4,2.3,PAE,5.0,,20.8,,,,,,,,250nm InP HBT
305,2023.0,1,Kumazaki,High-Efficiency 250–320 GHz Power Amplifiers Using InP-based MOS-HEMTs,InP,242-322,260.0,10.6,7.0,PAE,8.0,3.9,20.0,,,,,,,,75nm InP HEMT
306,2023.0,1,Nguyen,A 7–115-GHz Distributed Amplifier With 24-dBm Output Power Using Quadruple-Stacked HBT in InP,InP,7-115,75.0,20.0,6.8,PAE,16.9,6.0,17.0,,,,,,,,InP HBT
307,2022.0,8,Wang,A Compact 4-way 4-stage 130-160GHz D-band Power Amplifier in 0.5μm InP DHBT,InP,135-155GHz,150.0,12.0,4.5,PAE,9.0,3.0,17.0,,,,,,,,500nm InP DHBT
308,2022.0,8,Banerjee,A 130GHz Two-Stage Common-Base Power Amplifier in 250nm InP,InP,,130.0,17.4,23.2,PAE,17.1,,15.3,,,,,,,,250nm InP HBT
309,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,82.0,18.1,,PAE,,,6.5,,,,,,,,250nm InP HBT
310,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,86.0,19.3,,PAE,,,6.3,,,,,,,,250nm InP HBT
311,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,90.0,19.8,,PAE,,,6.0,16QAM,-28.22,500.0,12.9,14.0,,,250nm InP HBT
312,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,94.0,20.0,,PAE,,,5.5,,,,,,,,250nm InP HBT
313,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,98.0,19.9,33.5,PAE,13.0,15.0,5.2,,,,,,,,250nm InP HBT
314,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,102.0,19.5,,PAE,,,4.9,,,,,,,,250nm InP HBT
315,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,106.0,19.0,,PAE,,,4.5,,,,,,,,250nm InP HBT
316,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,110.0,16.0,,PAE,,,4.0,,,,,,,,250nm InP HBT
317,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,82.0,18.1,,PAE,,,12.0,,,,,,,,250nm InP HBT
318,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,86.0,18.8,,PAE,,,12.6,,,,,,,,250nm InP HBT
319,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,90.0,18.7,,PAE,,,11.0,64QAM,-32.46,500.0,11.8,15.9,,,250nm InP HBT
320,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,94.0,18.9,,PAE,,,10.0,,,,,,,,250nm InP HBT
321,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,98.0,18.8,33.0,PAE,19.0,32.0,7.5,,,,,,,,250nm InP HBT
322,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,102.0,18.3,,PAE,,,6.0,,,,,,,,250nm InP HBT
323,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,106.0,18.5,,PAE,,,5.5,,,,,,,,250nm InP HBT
324,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,110.0,18.0,,PAE,,,5.0,,,,,,,,250nm InP HBT
325,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,64.0,18.0,14.9,PAE,12.0,5.0,12.0,,,,,,,,250nm InP HBT
326,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,76.0,19.9,20.0,PAE,13.0,5.1,14.7,,,,,,,,250nm InP HBT
327,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,81.0,20.0,24.0,PAE,12.5,5.0,13.0,,,,,,,,250nm InP HBT
328,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,95.0,21.0,31.5,PAE,9.5,2.5,13.0,,,,,,,,250nm InP HBT
329,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,102.0,19.0,30.0,PAE,11.0,7.5,13.7,,,,,,,,250nm InP HBT
330,2023.0,2,Liu,Stacked Common-Base vs Common-Emitter mmWave PA Cells and 68–105 GHz Broadband Asymmetrical PA in 250nm InP HBT,InP,68-105GHz,110.0,17.0,20.5,PAE,10.0,4.0,12.3,,,,,,,,250nm InP HBT
331,2022.0,10,Jeon,D-band Power Amplifier Module with Medium Output Power Using E-plane Waveguide Transition,InP,120-140GHz,120.0,10.2,,PAE,,,17.5,,,,,,,,250nm InP HBT
332,2022.0,10,Jeon,D-band Power Amplifier Module with Medium Output Power Using E-plane Waveguide Transition,InP,120-140GHz,125.0,12.0,,PAE,,,19.0,,,,,,,,250nm InP HBT
333,2022.0,10,Jeon,D-band Power Amplifier Module with Medium Output Power Using E-plane Waveguide Transition,InP,120-140GHz,130.0,12.5,11.0,PAE,11.3,9.5,19.8,,,,,,,,250nm InP HBT
334,2022.0,10,Jeon,D-band Power Amplifier Module with Medium Output Power Using E-plane Waveguide Transition,InP,120-140GHz,135.0,12.0,,PAE,,,19.0,,,,,,,,250nm InP HBT
335,2022.0,10,Jeon,D-band Power Amplifier Module with Medium Output Power Using E-plane Waveguide Transition,InP,120-140GHz,140.0,10.0,,PAE,,,17.0,,,,,,,,250nm InP HBT
336,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,97.5,14.5,14.3,PAE,,,10.0,,,,,,,,130nm InP HBT
337,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,105.0,15.0,15.7,PAE,,,11.0,,,,,,,,130nm InP HBT
338,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,112.5,15.3,18.3,PAE,11.0,12.0,11.0,,,,,,,,130nm InP HBT
339,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,121.0,14.2,14.0,PAE,,,10.7,QPSK,-16.89,5000.0,7.8,,,,130nm InP HBT
340,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,121.0,,,PAE,,,,QPSK,-16.48,5000.0,5.0,,,,130nm InP HBT
341,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,121.0,,,PAE,,,,QPSK,-21.11,3000.0,7.6,,,,130nm InP HBT
342,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,121.0,,,PAE,,,,QPSK,-21.83,3000.0,4.3,,,,130nm InP HBT
343,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,121.0,,,PAE,,,,QPSK,-21.94,1500.0,8.0,,,,130nm InP HBT
344,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,121.0,,,PAE,,,,QPSK,-24.44,1500.0,4.8,,,,130nm InP HBT
345,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,121.0,,,PAE,,,,QPSK,-24.15,500.0,10.1,,,,130nm InP HBT
346,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,121.0,,,PAE,,,,QPSK,-29.12,500.0,6.0,,,,130nm InP HBT
347,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,121.0,,,PAE,,,,16QAM,-24.58,500.0,8.2,,,,130nm InP HBT
348,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,121.0,,,PAE,,,,16QAM,-29.11,500.0,5.2,,,,130nm InP HBT
349,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,121.0,,,PAE,,,,16QAM,-24.44,250.0,9.5,,,,130nm InP HBT
350,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,121.0,,,PAE,,,,16QAM,-27.96,250.0,6.0,,,,130nm InP HBT
351,2023.0,Early Access,Iyer,"A 15.3-dBm, 18.3% PAE F-Band Power Amplifier in 130-nm InP HBT With Modulation Measurements",InP,90-135GHz,130.0,14.0,12.0,PAE,,,10.0,,,,,,,,130nm InP HBT
352,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,
